id,question,correctanswer,answera,answerb,answerc,answerd
101744,which following most consistent with modern theory evolution?,a,parents pass physical traits offspring; those offspring with traits that help them survive environment are able reproduce.,parents change physical traits order survive environment then those parental traits are passed offspring.,life on this planet came from another planet far out space.,living organisms have not changed hundreds millions years.
101745,according endosymbiotic theory some larger eukaryotic cells with flexible membranes engulfed prokaryotic cells. which statement supports this theory?,c,eukaryotic organisms contain double-membrane ribosomes that result from engulfing prokaryotic cells.,eukaryotic organisms contain chloroplasts mitochondria that are synthesized ribosomes.,eukaryotic organisms contain chloroplasts mitochondria that divide by binary fission.,eukaryotic organisms contain nucleus that results from engulfing prokaryotic cells.
101746,in order scientific results accepted by scientific community data must,a, verified by several different scientific experiments.,overturn previously held theories., published respected scientific journal.,support proposed hypothesis.
101747,mass weight are two different measurements that are often confused. which following must known order calculate weight an object?,b,inertia object, force gravity on object,volume object, density object
101748,which following atmospheric gases absorbs heat radiated back from earth's surface?,d,helium,hydrogen,oxygen,methane
101749,which following acts causes water have least amount molecular motion?,c,boiling it,melting it,freezing it,increasing its pressure
101750,estella spilled tomato sauce on her shirt. when she washed her shirt she noticed that detergent she used contained enzymes. enzymes are added detergents break down proteins from food other substances that may stain clothing. which would most likely inhibit ability enzymes remove stain on her shirt?,c, amount dissolved minerals water, type fibers from which her shirt was made, temperature water, fragrances detergent
101751,forests have been cut burned so that land can used raise crops. which consequence does this activity have on atmosphere earth?,b,it reduces amount carbon dioxide production.,it reduces production oxygen.,it decreases greenhouse effect.,it decreases pollutants air.
101752,a meteorologist records data city on certain date. the data includes temperature cloud cover wind speed barometric pressure wind direction. which method should meteorologist use record this data quick reference?,b, written description, table, station model, weather map
101753,which these could cause water vapor condense into rain droplets?,b,sunlight warming surface oceans,air rising into colder regions atmosphere,lightning heating air atmosphere,winds blowing along surface ground
101754,compared amount hereditary information human body cell how much hereditary information contained human sex cell?,b,one-quarter amount,one-half amount, same amount,twice amount
101755,an organism's cells include organelles cell wall. in which taxonomic group groups might organism classified?,c,plants only,bacteria archaea,plants fungi protists,bacteria fungi protists
101756,an artificial pacemaker device that regulates beat heart by an electrical stimulus. some early pacemakers were powered by batteries were worn externally with wires passing through skin surface heart. modern pacemakers are now much smaller are implanted surgically. which most likely has increased lifespan effectiveness artificial pacemakers?,b, development thinner wires, invention lithium batteries,mass production pacemaker parts,reducing cost producing pacemakers
101757,in laboratory activity four different types rock were placed identical acid solutions one week. each sample was then measured see if any rock mass was dissolved by acid solution. which dependent (responding) variable this activity?,d, mass each rock, type rock tested, length time test, amount dissolved rock
101758,an atom will always have,b, single negatively-charged nucleus.,equal numbers protons electrons.,shared electrons from another atom., stable number charged neutrons.
101759,which layer atmosphere contains greatest amount water vapor?,d,thermosphere,mesosphere,stratosphere,troposphere
101760,which following substances can separated into several elements?,c,nitrogen,zinc,air,aluminum
101761,which following best describes composition sun?,a, sun made gas, sun made molten rock, sun made exploding iron enriched material, sun made super heated carbon
101762,a worker needs load heavy box onto truck. the worker uses ramp move box because ramp,d,increases weight box.,reduces gravitational force on box.,increases amount friction on box.,reduces amount force applied box.
101763,which following best describes number chromosomes normal human liver cell?,a,23 pairs chromosomes,46 different types chromosomes,46 male chromosomes 46 female chromosomes,23 original chromosomes 23 duplicate chromosomes
101764,which statement best describes energy transformations that occur when candle burns?,c,heat energy from wax converted into chemical light energy.,heat energy from air converted into mechanical light energy.,chemical energy from wax converted into light heat energy.,chemical energy from air converted into mechanical light energy.
101765,which these one roles chloroplasts?,d,creation energy use cell,breakdown energy into sugars,liberation energy use cell,capture energy from sunlight
101766,a nasa engineer needs describe forces operating on space probe vicinity jupiter. what two factors must he know order describe force gravity from jupiter on probe?,d, mass probe mass planet jupiter, mass planet jupiter distance planet, direction force distance planet, magnitude force direction force
101767,four students compared total mass products total mass reactants after performing three trials same chemical reaction. each student concluded that total mass products was slightly less than total mass reactants. each student proposed different explanation as follows. student 1: the reaction converted some reactant mass energy. student 2: the chemical reaction produced gas that escaped. student 3: some mass measurements were made with insufficient precision. student 4: heat released during reaction caused volume products increase.which students offered most reasonable explanations?,c,students 1 3,students 1 4,students 2 3,students 2 4
101768,the place on child's abdomen where umbilical cord was attached called __________ navel.,b,placenta,umbilicus,endometrium,uterus
101769,one similarity between small solid sample aluminum large liquid sample aluminum that both samples have,b, definite shape., definite volume., same number atoms., same amount energy.
101770,a student examines new watch design. the watch has small solar cell on its face. the main function solar cell ,b,reduce cost watch.,provide an energy source watch.,make watch more attractive.,stop watch from speeding up.
101771,which scientist known his genetics experiments with pea plants?,b,charles darwin,gregor mendel,carolus linnaeus,robert hooke
101772,which system has layers smooth muscle tissue that contract move solid liquid nutrients waste through body?,d,respiratory,skeletal,endocrine,digestive
101773,bacterial populations can evolve weeks rather than years. which process supports hypothesis that recombination occurs haploid cells by transduction?,c,bacterial dna altered when chromatids are exchanged.,bacterial dna assimilated directly from environment.,a bacterium receives additional dna through viral intermediate.,a bacterium receives additional dna directly from another bacterium.
101774,a medicinal company released study on an herbal supplement that claims reduce risk certain types cancers when taken daily. data from original experiment was not released along with study but there were several conclusions drawn from experiment. the claims study should,c, trusted because logical conclusions are drawn from experiment.,not trusted because cancer cannot cured.,not trusted because data not verifiable., trusted because scientific study backs up claim.
101775,which following structures determines eye color?,b, pupil, iris, cornea, retina
101776,which factor can increase amount sulfur dioxide air?,b,applying too much fertilizer agricultural fields,operation coal-fired electric generating plants, hot summer day,too much rain
101777,tommy set up an experiment with corn seeds. he wrote following hypothesis: the more water used water corn seeds faster seeds will germinate.which variables should tommy control during his experiment make sure his experiment fair?,c,type seeds amount water,amount soil amount water,type seeds containers seeds are planted ,container seeds are planted amount water
101778,which type energy found fossil fuels?,a,chemical,mechanical,nuclear,radiant
101779,which following planets has shortest revolution around sun?,d,earth,neptune,jupiter,venus
101780,evolution diversity organisms are caused by __________.,c,random chance events, stability population genetics,genetic variation environmental factors, consistency characteristics within population
101781,tetanus bacteria killed by heat chemical treatment are injected into body. this an example (n) __________.,d,antibody,antigen,pathogen,vaccine
101782,the primary function insulin our bodies ,b,store fuel later use.,regulate amount glucose blood.,increase efficiency fuel consumption.,prevent digestive bacteria from consuming glucose.
101783,what takes place as light wave enters denser medium?,c,it reflected,it absorbed,it refracted,it compressed
101784,if light waves bounce off matter they are said __________.,b,refracted,reflected,transmitted,absorbed
101785,hydrogen located on left side periodic table same column as alkali metals but it has characteristics nonmetal. which following physical property hydrogen?,c,hydrogen can bond itself.,hydrogen makes positive ions.,hydrogen gas at room temperature.,hydrogen combustible.
101786,several dinosaur bones are discovered buried volcanic ash. the type dinosaur can best identified by,c,knowing location where fossils were found.,establishing an inventory bones collected.,comparing characteristics known dinosaurs.,knowing absolute age fossils.
101787,a hillside along highway has exposed layers undisturbed sedimentary rock. which method would best scientists use determine relative age these sedimentary rock layers?,a,apply law superposition,calculate rate radiometric decay,apply law crosscutting relationships,calculate rate tectonic plate movement
101788,protists are single celled eukaryotic organisms which reproduce through __________.,c,sexual reproduction,asexual reproduction through binary fission,asexual reproduction through mitosis,asexual reproduction through budding
101789,some students are investigating effect plant extracts on growth bacteria. the students grow colonies bacteria separate dishes using same medium. the students expose each colony one four plant extracts observe each colony 5 days. which method presenting results should students use?,c, list bacteria counts collected, pie chart comparing amounts plant extracts used, line graph comparing counts bacteria exposed each extract over time, set notes written by each student each day observation
101790,a sensory neuron will most likely first receive stimulus through which neuron structure?,a,dendrites,cell body,axon,axon terminals
101791,a light bulb manufacturer claims its light bulb twice as bright per unit electrical energy consumed as leading light bulb. if this claim correct what factor must accurately compared between two bulbs?,c,how much each bulb weighs,how long each bulb lasts,how much heat each bulb releases,how much metal each bulb contains
101792,granite an igneous rock. which these describes what usually happens granite after it weathered broken into small particles buried deep underground compacted?,a,the granite becomes new rock type.,the granite forms an active volcano.,the granite becomes part deep fault.,the granite forms tall mountain.
101793,a layer sedimentary rock that shows evidence mass extinction at end cretaceous period found worldwide. this layer has much higher level element iridium indicating high likelihood an asteroid impact. this sedimentary layer known as __________.,d, cenozoic era, permian extinction, dinosaur extinction level, k-t boundary
101794,which group organisms can make food by process called chemosynthesis?,b,scavengers,producers,consumers,decomposers
101795,which these not an inherited trait humans?,d,height,hair color,skin color,intelligence
101796,rain forests contain more species trees than any other biome. however scientists have found that soil forest floor relatively nutrient poor. what could most likely account this?,b,the lack weathering reduces availability minerals.,the nutrients are being utilized by plant life.,the forest floor does not get enough sunlight.,the animals eat nutrients.
101797,what type precipitation occurs when raindrops freeze as they fall?,c,hail,frost,sleet,snow
101798,which dating technique do scientists use order determine sequence geological events earth's history?,d,radioactive dating,radiometric dating,carbon-14 dating,relative dating
101799,if tv commercial claims that star bleach gets white clothing just as white as max bleach how would scientist best test this claim?,b,select one other bleach brand compare time it takes clean piece clothing.,cut dirty cloth half wash each piece separate loads advertised bleaches.,analyze advertised bleach brand determine its active ingredients.,wash load clothes with mixture both bleaches.
101800,camouflage mimicry are examples __________.,d,mutation,evolution,analogous structures,adaptation
101801,which following statements true regarding compounds?,d,compounds retain properties elements they are composed .,compounds are composed two more atoms from same element.,compounds are simplest form an element that retains properties element.,a compound does not have resemble elements it composed .
101802,living organisms are largely made carbon hydrogen oxygen nitrogen phosphorus sulfur which are all different types __________.,b,electrons,elements,molecules,cells
101803,which following best way find scientific information electronic resources on world wide web?,a,by using keyword search engine,by checking an author's work cited page,by searching card catalogue,by using word processing software
101804,landslides are principle natural hazard california. in which following conditions are landslides most prone occur?,c,when once active volcanoes become dormant,when normally wet areas dry up during drought,when uplifted areas have weak underlying sediment,when seismic activity along fault lines increases
101805,the gravitational force sun affects planets our solar system. which these influenced most by this force?,b,axial tilt,orbital path, masses planets, number moons per planet
101806,male barn swallow birds with symmetrically-shaped wings find mates more quickly than males with asymmetrical wing shapes. which statement best explains significance symmetry barn swallow population?,a,symmetrical wings are attractive females.,symmetrical wings indicate genetic mutations.,symmetrical wings indicate that males are good predators.,symmetrical wings are signs that bird very aggressive.
101807,most human enzymes work only environments with neutral ph. when measuring ph blood an investigator would predict ph value _________.,c,2,5,7,13
101808,light emitted when electrons,d,move from one atom another.,collide with one another releasing energy.,move from lower energy level higher energy level.,move from higher energy level lower energy level.
101809,when studying characteristics sun what stream protons electrons that boil from corona known as?,c,solar flare,sun spot,solar wind,corona flare
101810,human hunting single animal can threaten entire ecosystem by,a,disrupting food web that ecosystem.,causing large-scale habitat destruction.,introducing new nonnative species.,causing sudden climate change.
101811,rolando wants see at what temperature various liquids boil. he boils tap water records temperature. he then boils tap water with milk added tap water with sugar added. what purpose boiling plain tap water first?,d, include factor manipulate, have possible explanation problem, change one variable while observing others, provide standard by which compare results
101812,newly made proteins are modified which organelle?,b,ribosome,endoplasmic reticulum,mitochondrion,nuclear envelop
101813,a new mutation that occurs which type cell can passed on offspring?,d,blood cell,nerve cell,brain cell,egg cell
101814,in which object does chemical energy most likely transform into electrical energy?,c, candle, mirror, flashlight, television
101815,what characteristic dna results cell differentiation developing embryos?,c,which genes are present,how many copies each gene are present,which genes are active,what protein produced by gene
101816,scientists discovered fossilized remains land reptile that lived 200 million years ago on coasts south america africa. which claim best supported by this discovery?,c,new types rock have formed south america africa.,all animals south america africa are related reptiles.,south america africa are moving slowly away from each other.,sedimentation south america africa has caused fossilization many reptiles.
101817,which characteristic an extinct organism makes it best suited used as an index fossil?,c,an organism whose fossils show evolutionary change over time,an organism that was common only specific types environments,an organism that was commonly fossilized during specific period time,an organism whose fossils are found rocks ranging age from ancient recent times
101818,which these results would best displayed pie chart?,a, survey student preferences what type food have lunch,an experiment comparing volumes liquid absorbed by different sponges, measurement growth plants given different amounts fertilizer,an investigation boiling time water at different altitudes
101819,when sodium hydroxide reacts with copper nitrate solution reaction vessel needs kept on ice slow down reaction. what best describes this reaction?,b,an exothermic reaction that absorbs energy,an exothermic reaction that releases energy,an endothermic reaction that absorbs energy,an endothermic reaction that releases energy
101820,plants forest need obtain nutrients from soil survive. how do most nutrients get back soil once forest plants have used them growth?,a,organic matter recycles from dead organisms.,commercial fertilizers are applied by humans.,solar radiation reaches ground surface.,rainwater drips off living organisms.
101821,which following elements necessary living organisms?,b,helium,sulfur,fluorine,silicon
101822,which statement best describes why calcium-fortified juice would advertise that it good growing children?,a,calcium helps growth bones.,calcium provides energy growth.,children need drink lot fluids.,children need calcium prevent allergies.
101823,air atmosphere heated unevenly by sun causing,a,wind patterns.,cloud formation.,volcanic activity.,water condensation.
101824,uranus one outer planets solar system. the average distance uranus from sun 2.87 billion kilometers. which best explains why uranus revolves its orbit instead moving out into space?,b,the orbit neptune limits uranus.,gravity pulls uranus toward sun.,electromagnetic energy pulls on uranus.,other planets have same mass as uranus.
101825,the nervous system composed cells tissues organs. which cell nervous system?,d,brain,spinal cord,ganglion,neuron
101826,during dna replication cytosine (c) pairs with __________.,b,adenine (a),guanine (g),thymine (t),uracil (u)
101827,the exotic plant melaleuca australian pine has increased intensity fires across everglades. the amount fuel available fires has increased due presence melaleuca. the melaleuca releases massive numbers seeds response fire drought herbicide damage. which best describes reason melaleuca has been able survive?,a,adaptation,competition,diversification,mutation
101828,the greek philosopher aristotle described matter with phrase unable divided. the modern concept that grew from aristotle's idea ,a,atom.,proton.,neutron.,electron.
101829,a person cuts down living oak tree. the person burns wood from oak tree boil water. which sequence correctly orders energy transformations that occurred from living tree boiling water?,a,light energy -> chemical energy -> thermal energy,thermal energy -> chemical energy -> light energy,chemical energy -> mechanical energy -> electrical energy,electrical energy -> mechanical energy -> chemical energy
101830,organisms that have greater genetic variation are more likely survive major change environment. greater genetic variation found organisms that,b,reproduce asexually.,reproduce sexually.,are primary producers.,are larger size.
101831,evidence suggests that there relationship between ancient dinosaurs modern birds. through time each occurrence new trait most likely resulted from which following?,a,mutation genes,hybridization species,extinction populations,alteration environment
101832,when two more different elements are combined (n) __________ formed.,c,atom,electron,compound,new element
101833,when scientists publish papers describing results conclusions experiments members scientific community should,b,collect own data rewrite paper.,evaluate evidence paper.,accept paper as fact.,ask writer write an alternate paper.
101834,a student mixes oil water flask. after while oil water separate into two layers. which statement best explains this result?,c,only one substances can act as solvent other.,only one substances can act as solute other.,neither substance can act as solvent other.,neither substance able form solutions.
101835,if triple-beam balance were taken moon measure cup cup would have same mass on moon as it would on earth. which most likely reason cup would have same mass on moon?,c,the lack significant atmosphere on moon would affect inside cup.,the gravity moon too low balance measure mass correctly.,the property mass constant regardless location object.,the pull gravity from earth would affect triple-beam balance.
101836,how are animals that prey on other animals classified?,b,herbivores,carnivores,autotrophs,decomposers
101837,the gravitational force between two objects depends on distance between objects each object's,a,mass,volume,pressure,temperature
101838,which characteristic cell membrane allows it control materials entering leaving cell?,b,a cell membrane surrounded by fluid.,a cell membrane semipermeable.,a cell membrane holds organelles place.,a cell membrane found plant animal cells.
101839,an organism's traits are largely determined by genetic makeup its parents. a mutation which kinds cells parent could cause new trait appear parent's offspring?,a,sperm egg,egg nerve,nerve muscle,muscle sperm
101840,a student visiting local limestone quarry finds fossils seashells. the quarry located hundreds miles from ocean. the fossils best indicate that,a,this area was once below sea level.,global temperature changed over time.,erosion took place after flood.,volcanic activity affected area.
101841,in darwin's studies he observed various species finches that were well suited environment on different galapagos islands. finches that are better suited environment were more likely ,c,become extinct.,migrate other islands.,survive reproduce., artificially selected.
101842,which factor would most likely cause release antidiuretic hormone (adh) from posterior pituitary gland?,a,consuming salty snack on hot day regulated by negative feedback,being well-hydrated regulated by negative feedback,consuming salty snack on hot day regulated by positive feedback,being well-hydrated regulated by positive feedback
101843,what first step process formation sedimentary rocks?,a,erosion,deposition,compaction,cementation
101844,one key physical process beach formation wave action. sand deposited on beaches as waves break onto shoreline energy from wave scatters. which type energy most used by wave action modify shape beaches?,d,thermal,potential,chemical,mechanical
101845,the water cycle mainly involves transport liquid water water vapor. considering three different stages water ecosystem water cycle best described as what type process.,a,a physical process,a chemical process,a biological process,an ecological process
101846,which atmospheric phenomena are created by interaction charged particles with earth's magnetosphere?,a,auroras,tornadoes,rainbows,inversions
101847,a cell that unable import substances required process chemical energy most likely result malfunctioning,a,cell membrane.,endoplasmic reticulum.,golgi body.,nuclear envelope.
101848,before letting students use hammers investigate how various minerals break which question would teacher most likely ask?,a,is everyone wearing goggles?,who will get minerals from shelf?,what purpose this investigation?,has someone volunteered make drawings breaks?
101849,an element that has different number __________ its atoms can considered an isotope that element.,a,neutrons,protons,electrons,energy levels
101850,which these can described as system stars gases dust other matter that orbits common center gravity?,b,an asteroid, galaxy, nebula, comet
101851,which factor would have greatest influence on southern migration animals living northern hemisphere?,c,strong storms,long periods drought,cold air temperatures,increasing daylight hours
101852,which following primary advantage sexual reproduction when compared asexual reproduction?,c,there greater number offspring.,there more food available offspring.,there greater genetic variety offspring.,there longer development time offspring.
101853,evidence indicates that magnetic field earth has reversed direction many times throughout history. after magnetic reversal which would most likely affected?,d, length severity seasons, formation new tectonic plates, direction rotation earth on axis, alignment minerals newly formed crust
101854,which distance smallest which it most practical use light-year as unit measurement?,d, distance between earth its moon, distance between jupiter sun, distance between milky way nearest galaxy, distance between sun center milky way
101855,compared sun red star most likely has greater,a,volume.,rate rotation.,surface temperature.,number orbiting planets.
101856,a river changes course so population mice subdivided into two populations. the forest on eastern side stream contains land predator that absent on western side stream. which outcome will most likely occur mice populations over many generations?,c,mice on western side stream will have better camouflage.,mice on eastern side stream will have different number chromosomes.,the two groups mice will become different species.,the two groups mice will continue eat same food.
101857,which most likely cancer treatment?,d, drug that kills only very small cells, drug that kills only very large cells, drug that kills only slowly dividing cells, drug that kills only rapidly dividing cells
101858,a student measuring liquid graduated cylinder. the student not tall enough read measurement at eye level. which these best action student take read measurement correctly?,d,stand on chair,estimate amount,pour out some liquid until it at eye level,move graduated cylinder lower table
101859,gaseous sulfur dioxide compound that combines with water atmosphere form acid rain. what primary source sulfur dioxide?,b,volcanic emissions,combustion fossil fuels,destruction tropical forests,mining mineral extraction
101860,which relationship between earth's outer core inner core generates large portion earth's magnetic field?,b, relative masses, relative motions, relative diameters, relative circumferences
101861,a pest control company hires scientist determine how many aphids ladybug eats an hour. the scientist going record her observations present it pest control company. which step would most beneficial scientist show that investigation valid?,a,maintain accurate records investigation.,record date place that investigation has been concluded.,release ladybugs after investigation has been concluded.,have an employee pest control company monitor investigation.
101862,a magician claims able move an assistant with his mind. which following best explains why his claim cannot true?,a,an object's motion changes only when it acted on by force,an object's force changes only when it acted on by motion,objects only move when acted on by balanced forces,an object motion will remain at rest unless acted upon by force
101863,as result rain forest deforestation some organisms lose habitats. which also an effect rain forest deforestation?,b, decrease rate soil erosion, decrease fertility topsoil,an increase production plants used medicines,an increase amount oxygen produced atmosphere
101864,the teacher told alex sure replicate his experiment. which best explains why teacher required alex replicate experiment?,c,it shows that he has used control his experiment.,it shows that he conducted experiment more than once.,it shows that he attempted reduce occurrence errors.,it shows that he made sure second set results was different than first set.
101865,what true all cells?,b,they are found human body.,they are formed from pre-existing cells.,they contain flagella.,they contain at least trace amounts chlorophyll.
101866,which statement best explains how earth's magnetic field reveals details about planet's interior?,b,magnetic anomalies reveal differences origins magnetic material earth's crust.,magnetic anomalies reveal variations amounts magnetic material earth's crust.,the shape earth's magnetic field indicates type magnetic material earth's core.,the shape earth's magnetic field indicates volume magnetic material earth's core.
101867,scientists found fossil an elephant african savanna. it has much longer tusks much larger than elephant species presently inhabiting area. this elephant fossil most likely reveals,d, diet early elephants.,that elephants travel herds., function trunk elephant.,that physical changes occurred elephants over time.
101868,a sudden environmental change will lead an increase chance that populations with __________.,d,genetic mutations will survive,large populations will survive,unfavorable traits will survive,favorable traits will survive
101869,if population was void predators organisms were able satisfy needs population would experience__________.,a,exponential growth,habitat degradation,habitat loss,habitat fragmentation
101870,what will most likely result some species animals with continued burning rain forests africa?,b,soil erosion,destruction habitats,improved nutrients soil,more grasses as result burning
101871,new evidence suggests that hot spots may form response twisting stresses on plates. it theorized that these stresses may eventually result splitting apart tectonic plate area hot spot. which geographic features would affected most by splitting tectonic plate?,b, himalayas, hawaiian islands, san andreas fault, mid-atlantic ridge
101872,in which section an oral presentation about scientific experiment would you describe what you thought would happen experiment?,c,problem,conclusion,hypothesis,procedure
101873,a fever response disease-causing agent infecting body. raising one's body temperature changes shape enzymes agent so it cannot reproduce. which statement best describes fever?,b,a fever an internal response an external stimulus.,a fever an internal response an internal stimulus.,a fever an external response an external stimulus.,a fever an external response an internal stimulus.
101874,scientists analyzed cells an animal determine cause an infection. the scientists did not agree on results analysis. what does this disagreement indicate about nature science?,b,scientists can present data different formats.,scientific results can interpreted different ways.,scientists are capable making unsupported claims.,scientific results are often different from expected results.
101875,a chemist observed bubbling fizzing after adding an acid solution white powdery substance beaker. which following can inferred?,b,the acid boiled when poured into beaker.,the acid powder formed new product.,a physical reaction produced gas mixture.,a reaction occurred that produced heat.
101876,which major organ nervous system?,a,brain,stomach,lung,bone
101877,rat snakes elaphe obsoleta are species made many distinct populations different areas. each populations has different markings colorings. where would rat snakes most likely gray?,c, forest, swamp, gravel pit, corn field
101878,meiosis contributes process reproduction by producing what type cell?,c,aneuploid,diploid,haploid,polyploid
101879,organisms with adaptive traits will escape extinction. these adaptive traits are produced an organism,a,by random genetic mutations.,based on needs organism.,based on environment which it lives.,by competition between species.
101880,which change environment would have negative effect on survival species an ecosystem?,b,increase population prey,introduction competing species,decrease population predators,increase genetic diversity species
101881,studies snail fossils egypt indicate that areas egypt that are now desert were once thriving savannahs approximately 130000 years ago. what does presence these fossils indicate about area egypt that was thriving 130000 years ago?,a,there was more humidity air.,there were fewer nutrients soil.,there was more snowfall region.,there was less solar radiation region.
101882,the gametes human males females have same number chromosomes. which best describes what happens chromosomes when typical male female gametes combine produce offspring?,b,the chromosomes change shape.,the number chromosomes doubles.,the chromosomes become larger size.,the number chromosomes reduces by half.
101883,an object such as hammer weighs less on moon than on earth. this because moon has ,d,thinner atmosphere than earth.,smaller diameter than earth.,stronger magnetic field than earth.,lower mass than earth.
101884,the core earth divided into two layers. the outer core made ,d,basaltic rocks.,silicate rocks.,solid iron nickel.,molten iron nickel.
101885,galileo first discovered that planet venus goes through phases just like moon. at different times year venus appears as different shape because,d, distance between earth sun changes., distance between venus sun changes., amount light generated by venus changes., amount light reflected from venus changes.
101886,which event most likely increase genetic variation population organisms?,c,improved hunting techniques,greater environmental stress,increased immigration,introduced predators
101887,during protein synthesis mrna translated into three-base sequences representing amino acids. what signals ribosome begin translating mrna into new amino acid sequence?,a, codon,enzymes, mutation,temperature
101888,the moon visible observers on earth because ,a,reflected sunlight,absorbed light from earth's atmosphere,gases moon's interior,volcanic eruptions on moon's surface
101889,scientists observed coral reef ecosystems certain area were dying. at first scientists believed decline was due rise ocean temperatures later they discovered that ocean temperatures had not risen. what will scientists most likely do with this new information?,c,they will stop studying coral reef ecosystems until mystery can solved.,they will dig up all coral reefs area bring them into laboratory study them further.,they will revise hypothesis look new ideas about what causing death coral reefs.,they will continue use original hypothesis because first hypothesis typically most accurate.
101890,scientists can identify an element by looking at structure single,a,atom.,neutron.,molecule.,electron.
101891,the relationship between an owl mouse ,d,parasite-host relationship.,symbiotic relationship.,mutualistic relationship.,predator-prey relationship.
101892,some kinds fish live most lives salt water but lay eggs freshwater. their ability survive different environments an example ,a,adaptation,developmental stages, habit,selective breeding
101893,steps representing process photosynthesis could best shown on scientific __________.,b,scale map,labeled diagram,scale model,investigation
101894,how many chromosomes does human body cell contain?,c,23,32,46,64
101895,a scientific investigation performed find affect exercise on average heart rate. data on amount exercise average heart beats per minute from this scientific experiment will most likely organized displayed on ,a,graph.,diagram.,pie chart.,scale drawing.
101896,a salvage yard contains mixture iron glass aluminum plastic. which property iron does salvage yard take advantage when separating iron from rest materials?,a,magnetic,electrical,ductility,malleability
101897,materials that only allow some light absorbed rest light reflected are called __________.,b,translucent,opaque,transparent,reflective
101898,although no other known planet our solar system can support life as it exists on earth there are characteristics that make some planets more suitable than others supporting artificial environments which humans could live. which planet best suited an artificial human habitat?,c,venus which has an average surface temperature 864°f,jupiter which radiates twice as much heat as it absorbs from sun,mars which possibly has frozen water under surface,saturn which composed mostly hydrogen helium
101899,in human kidney urea from blood filtered through glomerular membrane into nephron. the movement urea across this membrane occurs without an input energy. which factor most likely reason urea absorption does not require energy?,d, ph imbalance, pressure difference, temperature increase, concentration gradient
101900,which example demonstrates student carrying out inquiry-based science?,c,a student explains chemical process other students.,a student reads book about fossils writes report about it.,a student designs an experiment answer biology question.,a student consults with an expert on environmental issues.
101901,biologists have discovered that beluga whales canada's st. lawrence river have highest rates cancer among animals. what most likely reason this high incidence cancer these whales?,a,chemical pollutant runoff into ocean,average temperatures increased region,depletion natural prey from ecosystem,increased levels carbon dioxide atmosphere
101902,as molecules water begin slow down they go into phase where they are no longer able easily move past each other. the water passing through phase change will,b,remain mixture.,remain compound.,become an element.,become compound.
101903,when compression wave travels through medium what direction medium displaced?,c,upward,downward, same direction, opposite direction
101904,students measure changes temperature lake water with temperature probe. the probe connected computer inside classroom. which these best describes an advantage having temperature probe connected computer?,a,the computer can automatically display temperature data graph.,the computer can choose best location place probe.,the computer can randomly correct errors data collected by probe.,the computer can determine cause temperature change.
101905,which statement describes harmful effect clearing rainforests farmland?,b,makes more land available local farmers,removes valuable habitat local species,increases local groundwater levels,provides income local residents
101906,human activities like mining burning fuel causes relative residence time carbon coal oil fossil fuel ,c,shorter than relative residence time carbon plants.,longer than its relative residence time would under natural conditions.,shorter than its relative residence time would under natural conditions.,longer than relative residence time carbon released by respiration.
101907,stars that are closest earth have __________.,d, denser atmosphere, larger mass, smallest parallax angle, largest parallax angle
101908,which food items can broken down mostly into amino acids?,b,spaghetti noodles,hamburger patties,apple slices,cucumber slices
101909,in some national parks controlled fires are maintained by firefighters. which these one major reasons using controlled burns maintain certain ecosystems?,d, give nonnative plants chance colonize region, prevent spread pests that cause damage plants, replace matured plants with saplings same species, rid forest floor accumulated deadwood brush
101910,the gene eye color located which organelle cell?,d, endoplasmic reticulum, mitochondria, ribosome, nucleus
101911,george noticed that when he exercises he perspires but perspiration begins disappear. which would best explain what happens perspiration?,a,his body's heat supplying energy needed turn sweat water vapor.,the pores skin close shut off production perspiration.,the sweat glands become inactive during repeated exercise.,his body absorbs perspiration promote cooling.
101912,a student has liquid that does not mix with water. to predict whether liquid will float on water sink beneath it which tools should used examine liquid?,c,ruler compass,microscope voltmeter,graduated cylinder balance,thermometer bunsen burner
101913,human actions can change rate at which soil erodes. which following would most likely slow rate soil erosion?,d,applying nitrogen-rich fertilizers,keeping grasses trimmed short,building houses on stilts,planting trees along cliffs
101914,which following true chromosomes?,a,they are composed dna protein.,they are genetic material living organisms.,in humans there are 23 chromosomes present cell.,they make up deoxyribonucleic acid.
101915,a student conducts an experiment using common but potentially harmful bacteria culture. after working with bacteria which most important safety practice follow?,c,turn off any electrical equipment,dispose waste materials,wash hands tabletops thoroughly,return materials proper place
101916,which structure heart prevents backflow blood circulatory system?,b,aorta,valve,muscle,chamber
101917,many houses are built on sides hills. which these actions would best prevent houses from sliding down hills after heavy rainfalls?,c,increasing slope hill,spraying herbicides on hill,adding plants hill,removing grass from hill
101918,which an example chemical change?,d,heating block ice form liquid water,heating tungsten wire until it glows brightly,adding sugar crystals water form clear colorless liquid,passing an electric current through water form hydrogen oxygen
101919,which activity an example chemical change?,d,dissolving table salt water,hammering aluminum into thin sheets,melting gold make jewelry,burning wood produce ashes
101920,a country that has limited resources would most likely focus on development technology that includes,a,water treatment.,space exploration.,robotic automation.,satellite communications.
101921,which best describes role chlorophyll energy conversion?,d,chlorophyll converts chemical energy into radiant energy.,chlorophyll excites photons light energy stores them.,chlorophyll converts oxygen nutrients order drive metabolic activities.,chlorophyll absorbs light converts it chemical energy.
